codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
2885,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2885,4.02.03.07.0001,40203070001,13º SALÁRIOS
2885,4.02.03.07.0005,40203070005,RESCISÃO DE CONTRATO DE TRABALHO
1130,4.01.01.01.0013,40101010013,SEGURO DE VIDA REF. EMPREGADOS
0863,4.01.01.01.0013,40101010013,SEGURO DE VIDA REF. EMPREGADOS
1281,4.02.03.06.0010,40203060010,RESTAURAÇÃO DE PISO
2239,4.01.02.02.0021,40102020021,SERVIÇOS CHAVEIRO
2239,4.01.02.02.0088,40102020088,SUBSTITUIÇÃO DE FECHADURA DE PORTA
2239,4.01.02.02.0120,40102020120,MANUTENÇÕES DIVERSAS
0834,4.01.02.01.0012,40102010012,SEGURO DO CONDOMÍNIO
0834,4.01.02.01.0015,40102010015,SEGURO PREDIAL E DE VIDA DOS EMPREGADOS
0834,4.01.01.01.0013,40101010013,SEGURO DE VIDA REF. EMPREGADOS
2910,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
2910,4.02.03.06.0114,40203060114,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
0875,4.01.01.03.0003,40101030003,SERVIÇO DE PORTARIA REMOTA - MENSAL
0875,4.01.02.02.0057,40102020057,MANUTENÇÃO DO PORTÃO SOCIAL
0875,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
0875,4.01.01.01.0028,40101010028,SERVIÇO DE SEGURANÇA - DIARISTA
3129,4.01.02.02.0005,40102020005,MANUTENÇÃO EM PORTAS
0529,4.01.02.03.0004,40102030004,HONORÁRIOS DE SÍNDICO
2080,4.01.02.02.0046,40102020046,MATERIAIS ALIMENTÍCIOS PARA EMPREGADOS
2080,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
3142,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
0760,4.01.02.02.0027,40102020027,TESTE DE ESTANQUEIDADE PRUMADA DE GÁS
0760,4.01.02.02.0030,40102020030,REPARO DE VAZAMENTO DE GÁS
0760,4.02.03.08.0014,40203080014,REPARO DE VAZAMENTO DE GÁS EM UNIDADE
0760,4.02.03.08.0015,40203080015,TESTE DE ESTANQUEIDADE NO SISTEMA DE GÁS NAS UNIDADES
0760,4.02.03.08.0016,40203080016,SUBSTITUIÇÃO DOS EQUIPAMENTOS DE GÁS NAS UNIDADES
0760,4.02.03.06.0066,40203060066,SUBSTITUIÇÃO DE EQUIPAMENTOS DE GÁS
0760,4.01.02.02.0162,40102020162,VISITA TÉCNICA DE GÁS
1370,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
1370,4.02.03.06.0101,40203060101,CORREÇÃO DA REFORMA DA CALÇADA - MÃO DE OBRA
1138,4.02.03.01.0010,40203010010,MANUTENÇÃO DE MAQUINA DE LAVAR ROUPAS
1138,4.02.03.01.0037,40203010037,MANUTENÇÃO DE MAQUINA DE SECAR ROUPAS
1227,4.01.02.02.0086,40102020086,RESTAURAÇÃO DO DECK DA PISCINA
2235,4.01.02.02.0147,40102020147,MANUTENÇÃO DE TELEVISOR
1533,4.02.03.06.0047,40203060047,MELHORIAS NO SISTEMA DE SEGURANÇA
1533,4.01.02.02.0120,40102020120,MANUTENÇÕES DIVERSAS
1533,4.02.03.05.0005,40203050005,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1533,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1533,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
0670,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
0670,4.02.03.09.0003,40203090003,FÉRIAS
